dist,f_pure,n_clusters
0.4116404812084487,0.312,50
0.4242716006021659,0.307,47
0.437290303784217,0.302,43
0.4507084836983939,0.327,41
0.4645383982214819,0.263,39
0.4787926813611676,0.261,37
0.49348435479755265,0.261,37
0.5086268397788171,0.221,31
0.5242339693818991,0.221,31
0.5403200011493917,0.221,31
0.5568996301142004,0.221,31
0.5739880022238604,0.223,30
0.5916007281767762,0.223,30
0.6097538976830253,0.223,28
0.6284640941627505,0.223,28
0.6477484098955715,0.224,24
0.6676244616348519,0.214,22
0.6881104067010898,0.179,21
0.7092249595691288,0.185,19
0.7309874089643464,0.129,16
0.7534176354834363,0.129,15
0.7765361297558798,0.129,15
0.8003640111627007,0.122,14
0.8249230471296012,0.122,13
0.8502356730121042,0.133,9
0.8763250125908693,0.064,8
0.9032148991959013,0.044,7
0.9309298974789554,0.0,3
0.9594953258540212,0.0,3
0.9889372796263924,0.0,0
