item_id,folder_id,keyvalue,cat_id,svt,evt,validfromt,validtot,profcat,active,dataclass,wdays,rvt,rvid,crt,crid,source,vrnr,priority,spare,transcode,offical,supress,areaissued,notprefix,notserial,notyear,partno,notamcode,trafficind,notpurpose,notscope,minflt,maxflt,subj,briefingcard,printcat,IsNew,qsign,qstat,lat,lng,radius,severity,last_modified_dt,EstimatedEvt,item_id_1,fulltext,txt_id,HEX(id),purpose,FIR_34,n_locations,new,NOTAM_conform,len_txt,diurnal_duration,code_23,scope,FIR,location,FIR_12,code,end_est,duration,id,code_45,perm,type,previous_id,text,text_clean,important
4659715,2782,XXXX                ,3,2018-06-29 05:45:00.000,2038-01-01 00:00:00.000,0,0,2,0,TXT ,127,2018-06-29 06:59:00.000,,2018-06-29 05:40:00.000,1,EUC  ,1,1,0,N,1,0,YBBB,YB ,N1662,18,   ,QFFCH,IV,NBO,A ,0.0,999.0,,0,-1,1,,,-20.366666666666667,148.95,5.0,0,,2018-06-29 07:30:00.000,4659715,N1662/18 NOTAMN Q)YBBB/QFFCH/IV/NBO/A/000/999/2022S14857E005 A)YBHM B)1806290545 C)1806290730EST E)FIRE AND RESCUE CAT 7,11,0x00003F3F,NBO,BB,1.0,1.0,True,20,False,FF,A,YBBB,YBHM,YB,QFFCH,True,0.07291666666666667,N1662/18,CH,False,NOTAMN,,FIRE AND RESCUE CAT 7,fire and rescue cat <num>,True
4583478,-1,XXXX                ,5,2018-06-07 05:15:00.000,2018-06-07 13:00:00.000,0,0,2,1,TXT ,127,2018-06-07 00:59:00.000,,2018-06-07 00:59:00.000,1,EUC  ,1,1,0,N,1,1,YBBB,YX ,L3808,18,   ,QARCA,I,NBO,E ,0.0,999.0,,0,-1,1,,,-25.61666666666667,134.35,999.0,0,,,4583478,L3808/18 NOTAMN Q)YXXX/QARCA/I/NBO/E/000/999/2537S13421E999 A)YMMM YBBB B)1806070515 C)1806071300 E)AUSOTS GROUP B DOMESTIC FLEX TRACKS ACT TDM TRK SX14 180607051501  1806070515 1806071300  SVC TRK SX14 NO TRACK - USE PUBLISHED FIXED ROUTES  RMK/AUSOTS GROUP B . FURTHER INFORMATION ON FLEX TRACKS AVBL ON AIRSERVICES AUSTRALIA WEBSITE AT:WWW.AIRSERVICESAUSTRALIA.COM/AUSOTS/AUSOTSTODAY.ASP,11,0x00003F3F,NBO,XX,2.0,1.0,True,289,False,AR,E,YXXX,YMMM,YX,QARCA,False,0.3229166666666667,L3808/18,CA,False,NOTAMN,,AUSOTS GROUP B DOMESTIC FLEX TRACKS ACT TDM TRK SX14 180607051501  1806070515 1806071300  SVC TRK SX14 NO TRACK - USE PUBLISHED FIXED ROUTES  RMK/AUSOTS GROUP B . FURTHER INFORMATION ON FLEX TRACKS AVBL ON AIRSERVICES AUSTRALIA WEBSITE AT:WWW.AIRSERVICESAUSTRALIA.COM/AUSOTS/AUSOTSTODAY.ASP,ausots group b domestic flex tracks act tdm trk sx<num> <num> <num> <num> svc trk sx<num> no track   use published fixed routes rmk ausots group b   further info on flex tracks avbl on airservices australia website at www airservicesaustralia com ausots ausotstoday asp,False
4661003,-1,XXXX                ,5,2018-07-09 06:00:00.000,2018-08-31 18:00:00.000,0,0,2,1,TXT ,127,2018-06-30 19:15:00.000,,2018-06-29 10:41:00.000,1,EUC  ,1,1,0,N,1,1,LFFA,LF ,R1826,18,   ,QRTCA,IV,BO ,W ,0.0,14.0,,0,-1,0,,,43.41666666666666,1.75,5.0,0,,,4661003,"R1826/18 NOTAMN Q)LFBB/QRTCA/IV/BO/W/000/014/4325N00145E005 A)LFBB B)1807090600 C)1808311800 D)0600-1800 E)TEMPO RESTRICTED AREA (ZRT) OVER VILLEFRANCHE DE LAURAGAIS - DRONE EXPERIMENT : 1- LATERAL LIMITS :  432754N 0014433E 432806N 0014612E 432234N 0014752E 432222N 0014617E 432754N 0014433E 2- OAT/GAT ENTRY CONDITIONS : COMPULSORY AREA AVOIDANCE DURING ACTUAL ACTIVITY, EXC FOR ACFT ON ASSISTANCE, RESCUE OR PUBLIC SAFETY MISSIONS WHEN FLYING  ROUND THE AREA IS NOT POSSIBLE, AFTER CONTACT WITH ACTIVITY  MANAGER. 3- SERVICES PROVIDED :  FLIGHT INFO AND ALERT 4- INFORMATION FOR AIR USERS : TOULOUSE INFO 121.250MHZ 5- AUTHORITY TO CONTACT : ACTIVITY MANAGER : TEL : +33 6 30 32 20 97 OR +33 6 59 60 80 75. F)SFC G)1400FT AMSL",11,0x00003F3F,BO,BB,1.0,1.0,True,603,True,RT,W,LFBB,LFBB,LF,QRTCA,False,53.5,R1826/18,CA,False,NOTAMN,,"TEMPO RESTRICTED AREA (ZRT) OVER VILLEFRANCHE DE LAURAGAIS - DRONE EXPERIMENT : 1- LATERAL LIMITS :  432754N 0014433E 432806N 0014612E 432234N 0014752E 432222N 0014617E 432754N 0014433E 2- OAT/GAT ENTRY CONDITIONS : COMPULSORY AREA AVOIDANCE DURING ACTUAL ACTIVITY, EXC FOR ACFT ON ASSISTANCE, RESCUE OR PUBLIC SAFETY MISSIONS WHEN FLYING  ROUND THE AREA IS NOT POSSIBLE, AFTER CONTACT WITH ACTIVITY  MANAGER. 3- SERVICES PROVIDED :  FLIGHT INFO AND ALERT 4- INFORMATION FOR AIR USERS : TOULOUSE INFO 121.250MHZ 5- AUTHORITY TO CONTACT : ACTIVITY MANAGER : TEL : +33 6 30 32 20 97 OR +33 6 59 60 80 75.",tempo restricted area  zrt  ovr villefranche de lauragais   drone experiment   <num>  lateral limits   <num>n <num>e <num>n <num>e <num>n <num>e <num>n <num>e <num>n <num>e <num>  oat gat entry conditions   compulsory area avoidance during actual activity  exc for acft on assistance  rescue or public safety missions when flying round the area is not possible  after ctc with activity manager  <num>  services provided   flight info and alert <num>  info for air users   toulouse info <num>mhz <num>  auth to ctc   activity manager   tel    <num> <num> <num> <num> <num> <num> or  <num> <num> <num> <num> <num> <num> ,False
4614320,-1,XXXX                ,3,2018-06-15 17:00:00.000,2018-06-28 23:59:00.000,0,0,2,1,TXT ,127,2018-06-17 05:34:00.000,,2018-06-15 16:39:00.000,1,EUC  ,1,1,0,N,1,0,MYNN,KZ ,A0137,18,   ,QFFAS,IV,NBO,A ,0.0,999.0,,0,-1,0,,,24.316666666666666,-75.45,5.0,0,,,4614320,A0137/18 NOTAMN Q)KZMA/QFFAS/IV/NBO/A/000/999/2419N07527W005 A)MYCB B)1806151700 C)1806282359 E)FIRE TRUCK OUT OF SERVICE,11,0x00003F3F,NBO,MA,1.0,1.0,True,24,False,FF,A,KZMA,MYCB,KZ,QFFAS,False,13.290972222222226,A0137/18,AS,False,NOTAMN,,FIRE TRUCK OUT OF SERVICE,fire truck out of svc,True
4636111,-1,XXXX                ,3,2018-06-22 06:00:00.000,2018-06-22 13:00:00.000,0,0,2,1,TXT ,127,2018-06-22 07:54:00.000,,2018-06-22 05:33:00.000,1,EUC  ,1,1,0,N,1,0,EPWW,EP ,F3294,18,   ,QSPLC,IV,BO ,AE,0.0,999.0,,0,-1,0,,,54.03333333333333,19.133333333333333,5.0,0,,,4636111,F3294/18 NOTAMN Q)EPWW/QSPLC/IV/BO/AE/000/999/5402N01908E005 A)EPMB B)1806220600 C)1806221300 E)APP NOT AVBL.,11,0x00003F3F,BO,WW,1.0,1.0,True,12,False,SP,AE,EPWW,EPMB,EP,QSPLC,False,0.2916666666666667,F3294/18,LC,False,NOTAMN,,APP NOT AVBL.,app not avbl ,True
4594902,2782,XXXX                ,3,2018-06-10 20:14:00.000,2018-06-15 23:59:00.000,0,0,2,0,TXT ,127,2018-06-12 16:50:00.000,,2018-06-10 20:36:00.000,1,EUC  ,1,1,0,N,1,0,KMLB,KZ ,A0481,18,   ,QMXXX,IV,M  ,A ,0.0,999.0,,0,-1,0,,,28.1,-80.65,5.0,0,,,4594902,A0481/18 NOTAMN Q)KZMA/QMXXX/IV/M/A/000/999/2806N08039W005 A)KMLB B)1806102014 C)1806152359 E)TWY V2 SIGNS ALL NOT LGTD,11,0x00003F3F,M,MA,1.0,1.0,True,24,False,MX,A,KZMA,KMLB,KZ,QMXXX,False,5.15625,A0481/18,XX,False,NOTAMN,,TWY V2 SIGNS ALL NOT LGTD,twy v<num> signs all not lgtd,True
4615559,2782,XXXX                ,3,2018-06-19 05:00:00.000,2018-07-21 13:15:00.000,0,0,2,0,TXT ,127,2018-06-20 19:08:00.000,,2018-06-16 05:33:00.000,1,EUC  ,1,1,0,N,1,0,KLGB,KZ ,A0403,18,   ,QLAAS,IV,NBO,A ,0.0,999.0,,0,-1,0,,,33.81666666666667,-118.15,5.0,0,,,4615559,A0403/18 NOTAMN Q)KZLA/QLAAS/IV/NBO/A/000/999/3349N11809W005 A)KLGB B)1806190500 C)1807211315 D)DAILY 0500-1315 E)RWY 30 ALS U/S,11,0x00003F3F,NBO,LA,1.0,1.0,True,13,True,LA,A,KZLA,KLGB,KZ,QLAAS,False,32.34375,A0403/18,AS,False,NOTAMN,,RWY 30 ALS U/S,rwy <num> als u s,True
4600035,-1,XXXX                ,5,2018-06-25 21:00:00.000,2018-06-25 21:30:00.000,0,0,2,1,TXT ,127,2018-06-24 03:52:00.000,,2018-06-12 07:23:00.000,1,EUC  ,1,1,0,N,1,1,LIIA,LI ,W1436,18,   ,QWMLW,IV,BO ,W ,0.0,3.0,,0,-1,0,,,45.5,12.216666666666667,1.0,0,,,4600035,W1436/18 NOTAMN Q)LIMM/QWMLW/IV/BO/W/000/003/4530N01213E001 A)LIMM B)1806252100 C)1806252130 E)FIREWORKS DISPLAY WILL TAKE PLACE WI AREA 10M RADIUS OF 453044N0121301E /ZELARINO-NW VENEZIA/ ELEV 230FT AGL F)GND G)230FT AGL,11,0x00003F3F,BO,MM,1.0,1.0,True,109,False,WM,W,LIMM,LIMM,LI,QWMLW,False,0.020833333333333332,W1436/18,LW,False,NOTAMN,,FIREWORKS DISPLAY WILL TAKE PLACE WI AREA 10M RADIUS OF 453044N0121301E /ZELARINO-NW VENEZIA/ ELEV 230FT AGL,fireworks display will take place wi area <num>m radius of <coord>  zelarino nw venezia  elev <num>ft agl,False
4585193,-1,XXXX                ,3,2018-06-10 23:00:00.000,2018-06-10 23:15:00.000,0,0,2,1,TXT ,127,2018-06-09 16:33:00.000,,2018-06-07 10:40:00.000,1,EUC  ,1,1,0,N,1,1,EPWW,EP ,A4129,18,   ,QWLLW,IV,M  ,AW,0.0,22.0,,0,-1,0,,,50.13333333333333,19.9,2.0,0,,,4585193,A4129/18 NOTAMN Q)EPWW/QWLLW/IV/M/AW/000/022/5008N01954E002 A)EPKK B)1806102300 C)1806102315 E)NAVIGATION WARNING 1 WHITE LANTERN PSN: 500800N 0195428E - ZIELONKI - TROJANOWICE DIAMETER: 40CM CONTACT: +48 793 380 322. F)GND G)2200FT AMSL,11,0x00003F3F,M,WW,1.0,1.0,True,123,False,WL,AW,EPWW,EPKK,EP,QWLLW,False,0.010416666666666666,A4129/18,LW,False,NOTAMN,,NAVIGATION WARNING 1 WHITE LANTERN PSN: 500800N 0195428E - ZIELONKI - TROJANOWICE DIAMETER: 40CM CONTACT: +48 793 380 322.,nav warning <num> white lantern psn  <num>n <num>e   zielonki   trojanowice diameter  <num>cm ctc   <num> <num> <num> <num> ,False
4606401,2782,XXXX                ,3,2018-06-13 17:00:00.000,2018-06-13 18:00:00.000,0,0,2,0,TXT ,127,2018-06-13 17:53:00.000,,2018-06-13 16:46:00.000,1,EUC  ,1,1,0,N,1,0,KGSO,KZ ,A0771,18,   ,QIIAS,I,BO ,A ,0.0,999.0,,0,-1,1,,,36.1,-79.93333333333334,5.0,0,,,4606401,A0771/18 NOTAMN Q)KZTL/QIIAS/I/BO/A/000/999/3606N07956W005 A)KGSO B)1806131700 C)1806131800 E)ILS RWY 23L IM U/S,11,0x00003F3F,BO,TL,1.0,1.0,True,17,False,II,A,KZTL,KGSO,KZ,QIIAS,False,0.041666666666666664,A0771/18,AS,False,NOTAMN,,ILS RWY 23L IM U/S,ils rwy <num>l im u s,True
4590083,2782,XXXX                ,3,2018-06-08 13:09:00.000,2038-01-01 00:00:00.000,0,0,2,0,TXT ,127,2018-07-25 13:10:00.000,,2018-06-08 13:10:00.000,1,EUC  ,1,1,0,N,1,1,LYBB,LY ,C1742,18,   ,QFALC,V,NBO,A ,0.0,999.0,,0,-1,0,,,42.41666666666666,19.283333333333328,5.0,0,,,4590083,C1742/18 NOTAMN Q)LYBA/QFALC/V/NBO/A/000/999/4225N01917E005 A)LYPO B)1806081309 C)PERM E)LETILISTE LYPO CEMOVSKO POLJE ZATVORENO.,11,0x00003F3F,NBO,BA,1.0,1.0,True,39,False,FA,A,LYBA,LYPO,LY,QFALC,False,0.0,C1742/18,LC,True,NOTAMN,,LETILISTE LYPO CEMOVSKO POLJE ZATVORENO.,letiliste lypo cemovsko polje zatvoreno ,False
4658723,-1,XXXX                ,3,2018-06-28 20:31:00.000,2018-06-29 20:31:00.000,0,0,2,1,TXT ,127,2018-07-08 06:30:00.000,,2018-06-28 20:39:00.000,1,EUC  ,1,1,0,N,1,1,KBHM,KZ ,A0625,18,   ,QMRXX,IV,NBO,A ,0.0,999.0,,0,-1,0,,,33.56666666666667,-86.75,5.0,0,,,4658723,A0625/18 NOTAMN Q)KZTL/QMRXX/IV/NBO/A/000/999/3334N08645W005 A)KBHM B)1806282031 C)1806292031 E)RWY 18 5/5/5 100 PCT WET OBS AT 1806282031.,11,0x00003F3F,NBO,TL,1.0,1.0,True,42,False,MR,A,KZTL,KBHM,KZ,QMRXX,False,1.0,A0625/18,XX,False,NOTAMN,,RWY 18 5/5/5 100 PCT WET OBS AT 1806282031.,rwy <num> <num> <num> <num> <num> pct wet obs at <num> ,False
4589176,-1,XXXX                ,3,2018-06-10 12:30:00.000,2018-06-10 13:30:00.000,0,0,2,1,TXT ,127,2018-06-08 10:57:00.000,,2018-06-08 10:30:00.000,1,EUC  ,1,1,0,N,1,1,LFFA,LF ,A2543,18,   ,QACXX,V,NBO,AE,0.0,20.0,,0,-1,0,,,48.86666666666667,2.4166666666666665,24.0,0,,,4589176,A2543/18 NOTAMN Q)LFFF/QACXX/V/NBO/AE/000/020/4852N00225E024 A)LFPB B)1806101230 C)1806101330 E)VFR TRACK CLOSED BETWEEN W1 AND W2,11,0x00003F3F,NBO,FF,1.0,1.0,True,33,False,AC,AE,LFFF,LFPB,LF,QACXX,False,0.041666666666666664,A2543/18,XX,False,NOTAMN,,VFR TRACK CLOSED BETWEEN W1 AND W2,vfr track clsd between w<num> and w<num>,False
