dist,f_pure,n_clusters
1.0277135457155169,0.531,50
1.1252944995666854,0.533,46
1.2321407225137033,0.528,40
1.3491319478244934,0.527,36
1.477231439057862,0.416,31
1.617493921228261,0.405,30
1.7710742650311944,0.405,27
1.9392369956320423,0.405,25
2.123366704310253,0.405,24
2.3249794486846103,0.397,21
2.545735235384934,0.397,18
2.7874516879480247,0.397,16
3.0521190124743782,0.39,14
3.3419163842674884,0.382,13
3.659229890377429,0.382,13
4.0066721757811266,0.37,11
4.387103954958906,0.37,11
4.80365756598587,0.37,9
5.259762761073995,0.291,8
5.759174945914975,0.246,6
6.306006100336382,0.223,5
6.9047586348606735,0.174,3
7.560362461929723,0.174,3
8.278215587026011,0.174,3
9.064228553903085,0.174,3
9.924873109871308,0.0,1
10.86723549183133,0.0,1
11.899074771793215,0.0,1
13.028886742277221,0.0,1
14.265973867605613,0.0,0
