dist,f_pure,n_clusters
14.330026029499273,0.395,50
16.064641962415283,0.393,45
18.009229072531667,0.215,40
20.18920387679511,0.15,31
22.63305950172465,0.144,26
25.372738099761317,0.137,24
28.44404834574061,0.069,19
31.88713347033051,0.057,15
35.74699594781599,0.053,10
40.074085696105335,0.046,9
44.92495947696298,0.046,9
50.36302011508934,0.055,8
56.45934519793054,0.055,8
63.29361608765044,0.055,7
70.95515938781593,0.053,6
79.54411447717395,0.001,5
89.17274237064483,0.001,4
99.96689301485969,0.001,4
112.06765019636951,0.001,4
125.63317556212304,0.001,3
140.84077585428426,0.001,3
157.88922037896117,0.001,2
177.00133899906973,0.001,2
198.42693460812274,0.001,2
222.4460481521168,0.001,2
249.37261887463674,0.001,2
279.55858762601747,0.0,1
313.39849686842456,0.0,1
351.33464750072653,0.0,1
393.8628799048854,0.0,1
