dist,f_pure,n_clusters
0.6381432573498498,0.452,50
0.6729102617625431,0.441,48
0.7095714248643871,0.441,46
0.7482299432695366,0.441,44
0.7889946358988903,0.43,43
0.8319802502918189,0.43,42
0.8773077856062154,0.424,38
0.9251048332160746,0.424,37
0.9755059358653412,0.385,35
1.028652966388999,0.351,34
1.0846955270674545,0.351,34
1.1437913707383502,0.33,32
1.2061068448511787,0.33,30
1.2718173597146645,0.364,27
1.3411078822549634,0.36,26
1.414173456674555,0.349,25
1.4912197534774112,0.281,21
1.572463648405884,0.272,20
1.6581338329189446,0.17,12
1.7484714579301952,0.17,8
1.8437308126176974,0.133,6
1.9441800402163774,0.127,5
2.0501018928078816,0.127,4
2.1617945272325163,0.071,3
2.2795723443636695,0.064,2
2.4037668741071623,0.064,1
2.5347277086166975,0.064,1
2.6728234863522906,0.064,1
2.818442929751683,0.064,1
2.971995939435652,0.0,0
