dist,f_pure,n_clusters
1.9671261570453324,0.478,50
2.070768755363065,0.478,49
2.1798720040552433,0.478,46
2.294723610136125,0.471,43
2.4156264391304703,0.471,36
2.5428993137347833,0.491,35
2.676877854557866,0.491,33
2.8179153651577424,0.485,29
2.966383763708797,0.434,26
3.1226745637559596,0.434,25
3.287199906642192,0.379,19
3.460393648331812,0.379,19
3.6427125034956216,0.386,16
3.8346372498748025,0.386,13
4.036673996099529,0.386,13
4.249355516305525,0.375,11
4.473242655067997,0.354,9
4.708925806357757,0.354,8
4.957026470419587,0.334,6
5.218198892678332,0.334,5
5.493131788994568,0.334,5
5.782550161819351,0.334,5
6.087217212037307,0.334,4
6.40793635153957,0.292,3
6.745553321833817,0.292,3
7.100958424278174,0.239,2
7.475088867820146,0.239,2
7.868931240431628,0.239,2
8.283524110757186,0.0,1
8.719960766836218,0.0,1
