dist,f_pure,n_clusters
0.32351767130784437,0.363,50
0.3663139887106024,0.333,45
0.4147715881565748,0.322,35
0.4696393685304761,0.281,31
0.5317652963019331,0.219,26
0.6021095106142762,0.257,24
0.6817591619711822,0.288,22
0.7719452138489906,0.27,20
0.8740614668989992,0.184,16
0.9896860997535534,0.184,15
1.1206060593431726,0.184,14
1.268844677670361,0.133,12
1.4366929418497538,0.133,11
1.6267449006844779,0.083,9
1.8419377549776368,0.083,9
2.085597251163665,0.05,7
2.3614890798056565,0.05,6
2.6738770733083146,0.05,6
3.0275891022761914,0.0,5
3.428091688927326,0.0,4
3.8815744906920817,0.0,3
4.395045959668002,0.0,3
4.97644165632125,0.0,3
5.634746891393171,0.0,2
6.380135591408891,0.0,2
7.224127533916259,0.0,2
8.179766382482573,0.0,2
9.26182127293098,0.0,2
10.487015066276516,0.0,1
11.874282795948112,0.0,0
