ABN,airport beacon
ABV,above
ACC,area control center
ARTCC,area control center
ACCUM,accumulate
ACFT,aircraft
ACR,air carrier
ACT,active
ADJ,adjacent
ADZD,advised
AFD,airport facility directory
AFSS,automated flight service station
AGL,above ground level
ALS,approach light system
ALT,altitude
ALTM,altimeter
ALTN,alternate
ALTNLY,alternately
ALSTG,altimeter setting
AMDT,amendment
AMGR,airport manager
AMOS,automatic meterological observing system
AP,airport
APCH,approach
APLGT,approach lights
APP,approach control
ARFF,aircraft rescue and fire fighting
ARR,arrive  arrival
ASOS,automated surface observing system
ASPH,asphalt
ATC,air traffic control
ATCSCC,air traffic control system command center
ATIS,automatic terminal information service
AUTH,authority
AUTOB,automatic weather reporting system
AVBL,available
AWOS,automated weather observing system
AWY,airway
AZM,azimuth
BA,braking action
BCM,beacon
BERM,snowbanks with gravel or earth
BLW,below
BND,bound
BRG,bearing
BYD,beyond
CAAS,class A airspace
CAT,category
CAT,clear air turbulence
CBAS,class B airspace
CBSA,class B surface area
CCAS,class C airspace
CCLKWS,counterclockwise
CCSA,class C surface area
CD,clearance delivery
CDAS,class D airspace
CEAS,class E airspace
CESA,class E surface area
CFR,code of federal regulations
CGAS,class G air space
CHAN,channel
CHG,change or modification
CIG,ceiling
CK,check
CLKWS,clockwise
CLR,clear
CLSD,closed
CMB,climb
CMSND,commissioned
CNL,cancel
CNTRLN,centerline
COM,communications
CONC,concrete
CPD,coupled
CRS,course
CTC,contact
CTL,control
DALGT,daylight
DCMSND,decommissioned
DCT,direct
DEGS,degrees
DEP,depart  departure
DEP,PROC departure procedure
DH,decision height
DISABLD,disabled
DIST,distance
DLA,delay
DLA,delayed
DLT,delete
DLY,daily
DME,distance measuring equipment
DMSTN,demonstration
DP,dew point temperature
DRFT,snowbank caused by wind action
DSPLCD,displaced
E,east
EB,eastbound
EFAS,enroute flight advisory service
ELEV,elevation
ENG,engine
ENRT,enroute
ENRT,en route
ENTR,entire
EXC,except
FAC,facility
FAC,facilities
FAF,final approach fix
FDC,flight data center
FI/T,flight inspector-temporary
FI/P,flight inspector-permanent
FLIGHTCHECK,flight check
FM,from
FREQ,frequency
